,original_name,new_name,pitch_info
6,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/CH_Ball_72.7_b_c_165.0.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\6.mp4,"Ball, 72.7 CH"
7,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/CH_Ball_72.7_b_c_173.373806.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\7.mp4,"Ball, 72.7 CH"
8,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/CH_Ball_72.7_b_c_190.12142.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\8.mp4,"Ball, 72.7 CH"
9,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/CH_Ball_72.8_b_c_165.0.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\9.mp4,"Ball, 72.8 CH"
10,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/CH_Ball_72.8_b_c_173.373806.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\10.mp4,"Ball, 72.8 CH"
11,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/CH_Ball_72.8_b_c_190.12142.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\11.mp4,"Ball, 72.8 CH"
12,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/FF_Ball_82.3_b_c_165.0.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\12.mp4,"Ball, 82.3 FF"
13,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/FF_Ball_82.3_b_c_173.373806.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\13.mp4,"Ball, 82.3 FF"
14,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/FF_Ball_82.3_b_c_190.12142.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\14.mp4,"Ball, 82.3 FF"
15,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/FF_Ball_85.3_b_c_165.0.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\15.mp4,"Ball, 85.3 FF"
16,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/FF_Ball_85.3_b_c_173.373806.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\16.mp4,"Ball, 85.3 FF"
17,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/FF_Ball_85.3_b_c_190.12142.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\17.mp4,"Ball, 85.3 FF"
18,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/FF_Strike_81.4_b_c_165.0.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\18.mp4,"Strike, 81.4 FF"
19,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/FF_Strike_81.4_b_c_173.373806.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\19.mp4,"Strike, 81.4 FF"
20,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video/FF_Strike_81.4_b_c_190.12142.mp4,C:/Users/dalto/OneDrive/Pictures/Documents/Projects/Coding Projects/Game Vison/video/elite_video\20.mp4,"Strike, 81.4 FF"
